row,stu num,riazi 1,fizik 1,mabani kamputer,riazi 2,fizik 2,ri gosaste,barname pishrafte,moadelat def,amar va eh,sakhteman dadeh,medar mantaghi,mabani fanavari,memari com,mabani e didit,o va m modiriat,os,tarahi alg,nazariye,os tarahi DB,eghtesad mohandesi,moadel-T4,sex
181,9017050108,10.0,11.0,18.0,10.0,10.0,12.0,17.0,10.0,9.3,13.23,9.0,17.0,10.0,14.25,16.0,17.25,14.0,15.75,19.0,16.0,14.13,m
182,9017050109,12.0,15.5,13.5,17.0,12.25,12.5,14.04,19.0,17.6,11.48,14.5,20.0,15.1,16.0,17.0,18.75,12.22,16.0,16.0,17.5,16.47,f
183,9017050111,14.0,13.5,10.5,8.0,7.5,13.15,19.75,14.5,12.0,13.53,13.6,11.4,15.9,14.0,16.5,18.75,12.22,16.5,13.0,18.5,14.44,f
184,9017050113,11.0,13.0,16.5,19.0,10.0,11.0,14.93,17.25,12.4,10.71,9.0,12.75,14.4,14.75,15.5,17.5,13.24,14.25,19.0,19.0,15.08,m
185,9017050114,10.5,16.75,10.5,20.0,11.75,16.0,12.71,19.5,15.6,10.0,13.5,20.0,14.5,16.0,15.0,16.5,11.96,16.25,14.5,17.0,15.72,f
186,9017050115,8.0,12.0,8.5,8.0,9.0,9.75,9.75,9.0,8.9,9.75,12.0,10.5,16.25,10.25,13.5,12.5,9.89,13.0,9.9,12.25,12.06,f
187,9017050116,12.5,9.25,9.0,18.5,11.0,12.5,10.37,11.5,11.8,10.0,15.5,17.5,15.7,16.5,16.0,16.75,11.09,16.0,12.0,15.25,14.16,f
188,9017050120,10.0,11.0,9.0,20.0,9.0,13.5,16.0,13.0,13.6,11.22,10.0,13.5,13.9,18.25,16.0,16.75,11.48,16.5,13.0,15.4,14.68,f
189,9017050121,10.0,15.25,14.5,15.0,17.0,13.5,11.65,14.0,13.6,11.24,14.25,16.25,12.2,13.75,16.0,16.0,14.2,16.25,12.5,17.75,14.92,m
190,9017050123,14.0,16.25,11.0,19.5,15.5,14.0,10.43,18.0,18.8,10.49,14.5,17.0,13.6,19.25,16.0,16.75,10.4,14.0,15.5,16.1,15.5,f
